Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-09-26,10833.37988,11024,10789.04981,10802.91992,10802.91992,4697730000,0
2022-09-27,10955.29004,11040.98047,10741.01953,10829.5,10829.5,4445050000,1
2022-09-28,10817.51953,11101.5,10776.33984,11051.63965,11051.63965,4556100000,2
2022-09-29,10894.44043,10899.46973,10623.21973,10737.50977,10737.50977,4516630000,3
2022-09-30,10697.70996,10883.04004,10572.33008,10575.62012,10575.62012,4649710000,4
2022-10-03,10659.00977,10875.45996,10577.88965,10815.42969,10815.42969,4415440000,5
2022-10-04,11054.71973,11189.95996,11044.04004,11176.41016,11176.41016,5004780000,6
2022-10-05,11022.66992,11210.32031,10910.75977,11148.63965,11148.63965,4091860000,7
2022-10-06,11129.04004,11230.44043,11051.26953,11073.30957,11073.30957,4423320000,8
2022-10-07,10877.28027,10891.92969,10608.51953,10652.40039,10652.40039,4634190000,9
2022-10-10,10659.9502,10669.92969,10449.04004,10542.09961,10542.09961,3989640000,10
2022-10-11,10484.37012,10608.83984,10351.98047,10426.19043,10426.19043,4738840000,11
2022-10-12,10437,10494.53027,10372.20996,10417.09961,10417.09961,4091030000,12
2022-10-13,10131.82031,10697.70996,10088.83008,10649.15039,10649.15039,5300080000,13
2022-10-14,10742.80957,10766.69043,10308.80957,10321.38965,10321.38965,4393000000,14
2022-10-17,10575.65039,10696.58984,10569.69043,10675.79981,10675.79981,4439190000,15
2022-10-18,10963.99023,10972.96973,10670.12012,10772.40039,10772.40039,5047360000,16
2022-10-19,10689.30957,10808.04004,10592.87988,10680.50977,10680.50977,4955090000,17
2022-10-20,10657.41016,10837.29981,10574.54981,10614.83984,10614.83984,4628010000,18
2022-10-21,10576.04004,10875.71973,10542.42969,10859.71973,10859.71973,4706440000,19
2022-10-24,10867.07031,10983.51953,10713.33008,10952.61035,10952.61035,4808710000,20
2022-10-25,10996.96973,11210.37988,10996.96973,11199.12012,11199.12012,5141760000,21
2022-10-26,10969.01953,11205.83984,10948.37988,10970.99023,10970.99023,5224440000,22
2022-10-27,10971.9502,10998.73047,10780.5,10792.66992,10792.66992,4773520000,23
2022-10-28,10766.2002,11117.04004,10766.2002,11102.4502,11102.4502,4731940000,24
2022-10-31,11028.42969,11047.94043,10914.00977,10988.15039,10988.15039,4753740000,25
2022-11-01,11154.74023,11156.34961,10881.19043,10890.84961,10890.84961,4677520000,26
2022-11-02,10885.00977,10993.24023,10522.90039,10524.79981,10524.79981,5436420000,27
2022-11-03,10399.4502,10486.00977,10319.54004,10342.94043,10342.94043,5102190000,28
2022-11-04,10548.13965,10553.62988,10262.92969,10475.25,10475.25,5453750000,29
2022-11-07,10516.94043,10587.95996,10428.91016,10564.51953,10564.51953,4456690000,30
2022-11-08,10611.53027,10745.63965,10472.73047,10616.2002,10616.2002,5134500000,31
2022-11-09,10528.4502,10564.96973,10344.00977,10353.16992,10353.16992,4977460000,32
2022-11-10,10869.16992,11119.12012,10779.9502,11114.15039,11114.15039,6433000000,33
2022-11-11,11124.75,11352.42969,11069.83008,11323.33008,11323.33008,5867750000,34
2022-11-14,11233.90039,11350.12012,11167.16992,11196.21973,11196.21973,5004060000,35
2022-11-15,11474.82031,11492.62012,11241.15039,11358.41016,11358.41016,5617310000,36
2022-11-16,11260.09961,11286.09961,11162.91992,11183.66016,11183.66016,4585190000,37
